census_year,rc13,rc13desc,sex,age_grp,ur5_rc13,ur5_rc13desc,count
1996,01,Northland Region,Female,50–54,06,Hawke's Bay Region,00012
1996,01,Northland Region,Female,50–54,07,Taranaki Region,00012
1996,01,Northland Region,Female,50–54,08,Manawatu-Wanganui Region,00024
1996,01,Northland Region,Female,50–54,09,Wellington Region,00027
1996,01,Northland Region,Female,50–54,12,West Coast Region,..C
1996,01,Northland Region,Female,50–54,13,Canterbury Region,00012
1996,01,Northland Region,Female,50–54,14,Otago Region,..C
1996,01,Northland Region,Female,50–54,15,Southland Region,..C
1996,01,Northland Region,Female,50–54,16,Tasman Region,..C
1996,01,Northland Region,Female,50–54,17,Nelson Region,..C
1996,01,Northland Region,Female,50–54,18,Marlborough Region,..C
1996,01,Northland Region,Female,55–59,,,00210
1996,01,Northland Region,Female,55–59,01,Northland Region,02667
1996,01,Northland Region,Female,55–59,02,Auckland Region,00297
1996,01,Northland Region,Female,55–59,03,Waikato Region,00045
1996,01,Northland Region,Female,55–59,04,Bay of Plenty Region,00021
1996,01,Northland Region,Female,55–59,05,Gisborne Region,..C
1996,01,Northland Region,Female,55–59,06,Hawke's Bay Region,00012
1996,01,Northland Region,Female,55–59,07,Taranaki Region,00009
1996,01,Northland Region,Female,55–59,08,Manawatu-Wanganui Region,00015
1996,01,Northland Region,Female,55–59,09,Wellington Region,00027
1996,01,Northland Region,Female,55–59,12,West Coast Region,..C
1996,01,Northland Region,Female,55–59,13,Canterbury Region,00012
1996,01,Northland Region,Female,55–59,14,Otago Region,..C
1996,01,Northland Region,Female,55–59,15,Southland Region,..C
1996,01,Northland Region,Female,55–59,16,Tasman Region,..C
1996,01,Northland Region,Female,55–59,17,Nelson Region,..C
1996,01,Northland Region,Female,55–59,18,Marlborough Region,..C
1996,01,Northland Region,Female,60–64,,,00150
1996,01,Northland Region,Female,60–64,01,Northland Region,02394
1996,01,Northland Region,Female,60–64,02,Auckland Region,00207
1996,01,Northland Region,Female,60–64,03,Waikato Region,00045
1996,01,Northland Region,Female,60–64,04,Bay of Plenty Region,00018
1996,01,Northland Region,Female,60–64,05,Gisborne Region,..C
1996,01,Northland Region,Female,60–64,06,Hawke's Bay Region,00006
1996,01,Northland Region,Female,60–64,07,Taranaki Region,00012
1996,01,Northland Region,Female,60–64,08,Manawatu-Wanganui Region,00015
1996,01,Northland Region,Female,60–64,09,Wellington Region,00021
1996,01,Northland Region,Female,60–64,13,Canterbury Region,00012
1996,01,Northland Region,Female,60–64,14,Otago Region,..C
1996,01,Northland Region,Female,60–64,15,Southland Region,..C
1996,01,Northland Region,Female,60–64,17,Nelson Region,..C
1996,01,Northland Region,Female,60–64,18,Marlborough Region,..C
1996,01,Northland Region,Female,65–69,,,00159
1996,01,Northland Region,Female,65–69,01,Northland Region,02319
1996,01,Northland Region,Female,65–69,02,Auckland Region,00171
1996,01,Northland Region,Female,65–69,03,Waikato Region,00027
1996,01,Northland Region,Female,65–69,04,Bay of Plenty Region,00018
1996,01,Northland Region,Female,65–69,05,Gisborne Region,..C
1996,01,Northland Region,Female,65–69,06,Hawke's Bay Region,00006
1996,01,Northland Region,Female,65–69,07,Taranaki Region,00009
1996,01,Northland Region,Female,65–69,08,Manawatu-Wanganui Region,00006
1996,01,Northland Region,Female,65–69,09,Wellington Region,00012
1996,01,Northland Region,Female,65–69,13,Canterbury Region,00006
1996,01,Northland Region,Female,65–69,14,Otago Region,..C
1996,01,Northland Region,Female,65–69,15,Southland Region,..C
1996,01,Northland Region,Female,70–74,,,00156
1996,01,Northland Region,Female,70–74,01,Northland Region,01989
1996,01,Northland Region,Female,70–74,02,Auckland Region,00102
1996,01,Northland Region,Female,70–74,03,Waikato Region,00015
1996,01,Northland Region,Female,70–74,04,Bay of Plenty Region,00021
1996,01,Northland Region,Female,70–74,05,Gisborne Region,..C
1996,01,Northland Region,Female,70–74,06,Hawke's Bay Region,00006
1996,01,Northland Region,Female,70–74,07,Taranaki Region,..C
1996,01,Northland Region,Female,70–74,08,Manawatu-Wanganui Region,00009
1996,01,Northland Region,Female,70–74,09,Wellington Region,00006
1996,01,Northland Region,Female,70–74,12,West Coast Region,..C
1996,01,Northland Region,Female,70–74,13,Canterbury Region,..C
1996,01,Northland Region,Female,70–74,14,Otago Region,..C
1996,01,Northland Region,Female,75–79,,,00120
1996,01,Northland Region,Female,75–79,01,Northland Region,01434
1996,01,Northland Region,Female,75–79,02,Auckland Region,00075
1996,01,Northland Region,Female,75–79,03,Waikato Region,00015
1996,01,Northland Region,Female,75–79,04,Bay of Plenty Region,00009
1996,01,Northland Region,Female,75–79,05,Gisborne Region,..C
1996,01,Northland Region,Female,75–79,06,Hawke's Bay Region,..C
