year,sex,age,idierp
2009,Male,15,32295
2009,Male,16,33141
2009,Male,17,33606
2009,Male,18,34209
2009,Male,19,33555
2009,Male,20,32910
2009,Male,21,32319
2009,Male,22,30924
2009,Male,23,29502
2009,Male,24,29007
2009,Male,25,29001
2009,Male,26,28536
2009,Male,27,27642
2009,Male,28,27480
2009,Male,29,26829
2009,Male,30,26682
2009,Male,31,26211
2009,Male,32,26916
2009,Male,33,26910
2009,Male,34,27873
2009,Male,35,29184
2009,Male,36,30264
2009,Male,37,31638
2009,Male,38,32187
2009,Male,39,31560
2009,Male,40,31863
2009,Male,41,31446
2009,Male,42,31281
2009,Male,43,31296
2009,Male,44,31764
2009,Male,45,32976
2009,Male,46,33333
2009,Male,47,33318
2009,Male,48,32166
2009,Male,49,31143
2009,Male,50,30756
2009,Male,51,29055
2009,Male,52,28419
2009,Male,53,27348
2009,Male,54,26562
2009,Male,55,25848
2009,Male,56,24813
2009,Male,57,24681
2009,Male,58,24099
2009,Male,59,23844
2009,Male,60,23532
2009,Male,61,23484
2009,Male,62,23520
2009,Male,63,19662
2009,Male,64,18615
2009,Male,65,18018
2009,Male,66,15954
2009,Male,67,17736
2009,Male,68,17343
2009,Male,69,15807
2009,Male,70,13950
2009,Male,71,13434
2009,Male,72,12492
2009,Male,73,11685
2009,Male,74,11232
2009,Male,75,10551
2009,Male,76,10041
2009,Male,77,9879
2009,Male,78,9639
2009,Male,79,8532
2009,Male,80,8028
2009,Male,81,7434
2009,Male,82,6699
2009,Male,83,5859
2009,Male,84,5265
2009,Male,85,4377
2009,Male,86,3768
2009,Male,87,3192
2009,Male,88,2532
2009,Male,89,2076
2009,Male,90,5499
2010,Female,0,31308
2010,Female,1,30411
2010,Female,2,30927
2010,Female,3,30060
2010,Female,4,28959
2010,Female,5,28326
2010,Female,6,28632
2010,Female,7,27816
2010,Female,8,28188
2010,Female,9,28851
2010,Female,10,29466
2010,Female,11,28572
2010,Female,12,29508
2010,Female,13,29373
2010,Female,14,29613
2010,Female,15,30498
2010,Female,16,30771
2010,Female,17,31527
2010,Female,18,31719
2010,Female,19,32733
2010,Female,20,32469
2010,Female,21,31086
2010,Female,22,30237
2010,Female,23,28326
2010,Female,24,28056
2010,Female,25,27912
2010,Female,26,28062
2010,Female,27,28011
2010,Female,28,27645
2010,Female,29,27546
2010,Female,30,27714
2010,Female,31,28131
2010,Female,32,27285
2010,Female,33,27813
2010,Female,34,28029
2010,Female,35,29427
2010,Female,36,30849
2010,Female,37,31767
2010,Female,38,33453
2010,Female,39,33882
2010,Female,40,32820
2010,Female,41,33258
2010,Female,42,32904
2010,Female,43,32793
2010,Female,44,32292
2010,Female,45,32943
2010,Female,46,34242
2010,Female,47,34893
2010,Female,48,34824
2010,Female,49,33975
2010,Female,50,32301
2010,Female,51,31902
2010,Female,52,30189
2010,Female,53,29295
2010,Female,54,28629
2010,Female,55,27537
2010,Female,56,27054
2010,Female,57,25815
2010,Female,58,25374
2010,Female,59,24666
2010,Female,60,24876
2010,Female,61,24063
2010,Female,62,24429
2010,Female,63,24456
2010,Female,64,20538
2010,Female,65,19878
2010,Female,66,18819
2010,Female,67,16851
2010,Female,68,19110
2010,Female,69,18390
2010,Female,70,16833
2010,Female,71,15441
2010,Female,72,14682
2010,Female,73,13857
2010,Female,74,13092
2010,Female,75,12231
2010,Female,76,11904
2010,Female,77,11715
2010,Female,78,11346
2010,Female,79,11295
2010,Female,80,10545
2010,Female,81,9786
2010,Female,82,9471
2010,Female,83,8649
2010,Female,84,8175
2010,Female,85,7689
2010,Female,86,6711
2010,Female,87,5940
2010,Female,88,5481
2010,Female,89,4683
2010,Female,90,15954
2010,Male,0,32844
2010,Male,1,32724
2010,Male,2,32763
2010,Male,3,31767
2010,Male,4,30306
2010,Male,5,29901
2010,Male,6,29997
2010,Male,7,29436
2010,Male,8,29211
2010,Male,9,30387
2010,Male,10,30918
2010,Male,11,30441
2010,Male,12,31083
2010,Male,13,30879
2010,Male,14,31797
2010,Male,15,32238
2010,Male,16,32610
2010,Male,17,33402
2010,Male,18,33654
2010,Male,19,34674
2010,Male,20,34017
2010,Male,21,33177
2010,Male,22,32451
2010,Male,23,30864
2010,Male,24,29352
2010,Male,25,28815
2010,Male,26,28740
2010,Male,27,28230
2010,Male,28,27537
2010,Male,29,27339
2010,Male,30,26850
2010,Male,31,26604
2010,Male,32,26277
2010,Male,33,26901
2010,Male,34,26961
2010,Male,35,27924
2010,Male,36,29265
2010,Male,37,30252
2010,Male,38,31605
2010,Male,39,32142
2010,Male,40,31455
2010,Male,41,31788
2010,Male,42,31362
2010,Male,43,31116
2010,Male,44,31212
2010,Male,45,31734
2010,Male,46,32787
2010,Male,47,33027
2010,Male,48,33024
2010,Male,49,31965
2010,Male,50,30972
2010,Male,51,30642
2010,Male,52,28833
2010,Male,53,28215
2010,Male,54,27216
2010,Male,55,26400
2010,Male,56,25674
2010,Male,57,24669
2010,Male,58,24519
2010,Male,59,23916
2010,Male,60,23727
2010,Male,61,23382
2010,Male,62,23322
2010,Male,63,23325
2010,Male,64,19560
2010,Male,65,18666
2010,Male,66,17850
2010,Male,67,15738
2010,Male,68,17514
2010,Male,69,17055
2010,Male,70,15561
2010,Male,71,13722
2010,Male,72,13155
2010,Male,73,12201
2010,Male,74,11379
2010,Male,75,10872
2010,Male,76,10185
2010,Male,77,9663
2010,Male,78,9495
2010,Male,79,9192
2010,Male,80,8079
2010,Male,81,7539
2010,Male,82,6885
2010,Male,83,6192
2010,Male,84,5313
2010,Male,85,4731
2010,Male,86,3912
2010,Male,87,3318
2010,Male,88,2775
2010,Male,89,2145
2010,Male,90,5943
2011,Female,0,30543
2011,Female,1,30957
2011,Female,2,30228
2011,Female,3,30828
2011,Female,4,30039
2011,Female,5,28977
2011,Female,6,28299
2011,Female,7,28632
2011,Female,8,27735
2011,Female,9,28128
2011,Female,10,28827
2011,Female,11,29454
2011,Female,12,28614
2011,Female,13,29439
2011,Female,14,29427
2011,Female,15,29694
2011,Female,16,30789
2011,Female,17,30966
2011,Female,18,31335
2011,Female,19,31686
2011,Female,20,32892
2011,Female,21,32406
2011,Female,22,30639
2011,Female,23,29643
2011,Female,24,28065
2011,Female,25,27828
2011,Female,26,27822
2011,Female,27,27906
2011,Female,28,28059
2011,Female,29,27816
2011,Female,30,27546
2011,Female,31,27864
2011,Female,32,28125
2011,Female,33,27327
2011,Female,34,27819
2011,Female,35,27996
2011,Female,36,29418
2011,Female,37,30813
2011,Female,38,31746
2011,Female,39,33378
2011,Female,40,33840
2011,Female,41,32715
2011,Female,42,33090
2011,Female,43,32757
2011,Female,44,32697
2011,Female,45,32172
2011,Female,46,32745
2011,Female,47,34038
2011,Female,48,34686
2011,Female,49,34635
2011,Female,50,33717
2011,Female,51,32106
2011,Female,52,31740
2011,Female,53,29973
2011,Female,54,29178
2011,Female,55,28431
2011,Female,56,27384
2011,Female,57,26910
2011,Female,58,25701
2011,Female,59,25293
2011,Female,60,24546
2011,Female,61,24717
2011,Female,62,23898
2011,Female,63,24270
2011,Female,64,24357
2011,Female,65,20793
2011,Female,66,19773
2011,Female,67,18642
2011,Female,68,16704
2011,Female,69,18906
2011,Female,70,18165
2011,Female,71,16545
2011,Female,72,15216
2011,Female,73,14442
2011,Female,74,13623
2011,Female,75,12822
2011,Female,76,11940
2011,Female,77,11619
2011,Female,78,11397
2011,Female,79,10983
2011,Female,80,10902
2011,Female,81,10074
2011,Female,82,9303
2011,Female,83,8961
2011,Female,84,8118
2011,Female,85,7569
2011,Female,86,7092
2011,Female,87,6099
2011,Female,88,5334
2011,Female,89,4857
2011,Female,90,16830
2011,Male,0,32073
2011,Male,1,32535
2011,Male,2,32514
2011,Male,3,32628
2011,Male,4,31704
2011,Male,5,30270
2011,Male,6,29829
2011,Male,7,29913
2011,Male,8,29349
2011,Male,9,29196
2011,Male,10,30336
2011,Male,11,30918
2011,Male,12,30333
2011,Male,13,31071
2011,Male,14,30852
2011,Male,15,31914
2011,Male,16,32487
2011,Male,17,32739
2011,Male,18,33393
2011,Male,19,34170
2011,Male,20,35220
2011,Male,21,34257
2011,Male,22,33048
2011,Male,23,31929
2011,Male,24,30393
2011,Male,25,28752
2011,Male,26,28263
2011,Male,27,28203
2011,Male,28,27798
2011,Male,29,27324
2011,Male,30,27231
2011,Male,31,26802
2011,Male,32,26586
2011,Male,33,26067
2011,Male,34,26883
2011,Male,35,26850
2011,Male,36,27759
2011,Male,37,29127
2011,Male,38,30129
2011,Male,39,31470
2011,Male,40,31980
2011,Male,41,31287
2011,Male,42,31593
2011,Male,43,31224
2011,Male,44,30900
2011,Male,45,31089
2011,Male,46,31470
2011,Male,47,32544
2011,Male,48,32667
2011,Male,49,32745
2011,Male,50,31686
2011,Male,51,30696
2011,Male,52,30291
2011,Male,53,28581
2011,Male,54,27966
2011,Male,55,26988
2011,Male,56,26181
2011,Male,57,25446
2011,Male,58,24450
2011,Male,59,24285
2011,Male,60,23748
2011,Male,61,23556
2011,Male,62,23214
2011,Male,63,23151
2011,Male,64,23178
2011,Male,65,19653
2011,Male,66,18471
2011,Male,67,17673
2011,Male,68,15543
2011,Male,69,17259
2011,Male,70,16749
2011,Male,71,15219
2011,Male,72,13413
2011,Male,73,12819
2011,Male,74,11889
2011,Male,75,11043
2011,Male,76,10518
2011,Male,77,9807
2011,Male,78,9198
2011,Male,79,9045
2011,Male,80,8733
2011,Male,81,7602
2011,Male,82,7029
2011,Male,83,6336
2011,Male,84,5664
2011,Male,85,4776
2011,Male,86,4224
2011,Male,87,3441
2011,Male,88,2916
2011,Male,89,2349
2011,Male,90,6405
2012,Female,0,29760
2012,Female,1,30141
2012,Female,2,30693
2012,Female,3,30030
2012,Female,4,30660
2012,Female,5,29901
2012,Female,6,28872
2012,Female,7,28107
2012,Female,8,28470
2012,Female,9,27585
2012,Female,10,27981
2012,Female,11,28767
2012,Female,12,29361
2012,Female,13,28467
2012,Female,14,29322
2012,Female,15,29547
2012,Female,16,29829
2012,Female,17,30825
2012,Female,18,30642
2012,Female,19,31233
2012,Female,20,31680
2012,Female,21,32508
2012,Female,22,31515
2012,Female,23,29994
2012,Female,24,29250
2012,Female,25,27888
2012,Female,26,27747
2012,Female,27,27915
2012,Female,28,27939
2012,Female,29,28185
2012,Female,30,27960
2012,Female,31,27711
2012,Female,32,27984
2012,Female,33,28212
2012,Female,34,27366
2012,Female,35,27783
2012,Female,36,27990
2012,Female,37,29394
2012,Female,38,30711
2012,Female,39,31725
2012,Female,40,33279
2012,Female,41,33735
2012,Female,42,32508
2012,Female,43,32955
2012,Female,44,32550
2012,Female,45,32535
2012,Female,46,32034
2012,Female,47,32535
2012,Female,48,33747
2012,Female,49,34479
2012,Female,50,34392
2012,Female,51,33510
2012,Female,52,31869
2012,Female,53,31578
2012,Female,54,29823
2012,Female,55,29010
2012,Female,56,28317
2012,Female,57,27306
2012,Female,58,26778
2012,Female,59,25614
2012,Female,60,25239
2012,Female,61,24462
2012,Female,62,24612
2012,Female,63,23796
2012,Female,64,24243
2012,Female,65,24582
2012,Female,66,20679
2012,Female,67,19602
2012,Female,68,18453
2012,Female,69,16542
2012,Female,70,18678
2012,Female,71,17919
2012,Female,72,16347
2012,Female,73,15021
2012,Female,74,14181
2012,Female,75,13320
2012,Female,76,12495
2012,Female,77,11640
2012,Female,78,11322
2012,Female,79,11058
2012,Female,80,10557
2012,Female,81,10443
2012,Female,82,9615
2012,Female,83,8847
2012,Female,84,8331
2012,Female,85,7596
2012,Female,86,6951
2012,Female,87,6441
2012,Female,88,5460
2012,Female,89,4701
2012,Female,90,17628
2012,Male,0,31221
2012,Male,1,31650
2012,Male,2,32253
2012,Male,3,32328
2012,Male,4,32457
2012,Male,5,31518
2012,Male,6,30111
